author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Самолет;developer;https://khimki.cian.ru/sale/flat/294276915/;Химки;sale;flat;12;17;4;77.13;168822;13021281;2025;Новостройка;Монолитно-кирпичный;-1;Чистовая;49.0;5.0;+74951370594;;;;Долгопрудная;Квартал Ивакино ЖК
Авеню-Мск;real_estate_agent;https://khimki.cian.ru/sale/flat/294500956/;Химки;sale;flat;2;17;4;91.3;152792;13950000;2012;Вторичка;-1;Центральное;-1;50.0;27.0;+79854536098;;тупик 2-й Мичуринский;7к1;Сходня;
Самолет;developer;https://khimki.cian.ru/sale/flat/293981240/;Химки;sale;flat;17;17;4;77.5;155551;12055260;2024;Новостройка;Монолитно-кирпичный;-1;Чистовая;39.0;5.0;+74951370594;;;к2;Химки;Квартал Ивакино ЖК
Доступная Недвижимость. 8 отдел;real_estate_agent;https://khimki.cian.ru/sale/flat/292519264/;Химки;sale;flat;5;25;4;129.0;172868;22300000;2008;Вторичка;Монолитный;Центральное;-1;68.0;16.0;+79647857122;; Горшина;8;Химки;
НДВ Супермаркет Недвижимости;representative_developer;https://khimki.cian.ru/sale/flat/296929297/;Химки;sale;flat;2;5;4;106.46;149318;15896437;2024;Новостройка;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951377125;;;;Марк;Мишино-2
Vasilevsky Estate;real_estate_agent;https://khimki.cian.ru/sale/flat/294872028/;Химки;sale;flat;2;25;4;100.0;145000;14500000;2006;Вторичка;Монолитный;Центральное;-1;63.0;11.0;+79660625206;;проспект Мельникова;15;Молжаниново;
Классика;real_estate_agent;https://khimki.cian.ru/sale/flat/296855961/;Химки;sale;flat;1;9;4;67.8;213864;14500000;1972;Вторичка;Кирпичный;Центральное;-1;-1;7.0;+79647809503;; Пожарского;16;Левобережная;
Александр Смирнов;realtor;https://khimki.cian.ru/sale/flat/296782663/;Химки;sale;flat;12;25;4;100.9;150644;15200000;2006;Вторичка;Монолитный;Центральное;-1;-1;10.0;+79852503517;;Молодежная ;54;Химки;
Александр Смирнов;realtor;https://khimki.cian.ru/sale/flat/296986201/;Химки;sale;flat;13;17;4;127.3;204163;25990000;1999;Вторичка;Кирпичный;Центральное;-1;47.0;39.0;+79852503517;;Юбилейный проспект;7;Химки;Дом с часами
Владис;real_estate_agent;https://khimki.cian.ru/sale/flat/282774565/;Химки;sale;flat;9;17;4;112.1;156021;17490000;2013;Вторичка;Панельный;Центральное;-1;74.0;12.0;+79855561950;;Совхозная ;29;Новодачная;
Владис;real_estate_agent;https://khimki.cian.ru/sale/flat/295750632/;Химки;sale;flat;22;23;4;105.9;206798;21900000;2012;Вторичка;Монолитный;Центральное;-1;65.0;11.0;+79660769607;;проспект Мельникова;25;Планерная;
ОЛМИ;real_estate_agent;https://khimki.cian.ru/sale/flat/296680398/;Химки;sale;flat;4;26;4;97.0;314432;30500000;2015;Вторичка;-1;Центральное;-1;-1;9.0;+79852644576;; Юннатов;10;Химки;Правый берег
Капитал Недвижимость;real_estate_agent;https://khimki.cian.ru/sale/flat/275501737/;Химки;sale;flat;4;25;4;90.6;196467;17800000;2018;Вторичка;Панельный;Центральное;-1;58.0;22.0;+79645391004;;проспект Мельникова;35;Планерная;Новокуркино
ИНКОМ-Недвижимость;real_estate_agent;https://khimki.cian.ru/sale/flat/291213023/;Химки;sale;flat;2;4;4;144.0;166666;24000000;1999;Вторичка;Кирпичный;-1;-1;90.0;30.0;+79671668161;;;3;Планерная;
Светлана Молчанова;realtor;https://khimki.cian.ru/sale/flat/290788369/;Химки;sale;flat;3;5;4;57.6;126736;7300000;1972;Вторичка;-1;Нет информации;-1;44.0;7.0;+79681865255;;Вишневая ;10;Беломорская;
Денис Кузьменко;realtor;https://khimki.cian.ru/sale/flat/293978646/;Химки;sale;flat;11;26;4;120.6;272802;32900000;2014;Вторичка;-1;Центральное;-1;79.0;18.0;+79651100159;; Ватутина;4к2;Химки;Васко да Гама
БЕСТ-Недвижимость на Баррикадной;real_estate_agent;https://khimki.cian.ru/sale/flat/284759284/;Химки;sale;flat;2;17;4;70.0;185714;13000000;2019;Вторичка;Монолитный;-1;-1;55.0;10.0;+79057117423;;9 Мая ;4Ак2;Планерная;Альфа Центавра
Классика;real_estate_agent;https://khimki.cian.ru/sale/flat/279086394/;Химки;sale;flat;5;6;4;204.0;134313;27400000;2016;Вторичка;-1;Центральное;-1;56.0;32.0;+79167325795;мкр. Клязьма-Старбеево; Озерная;10;;Мишино
Ольга Косых;realtor;https://khimki.cian.ru/sale/flat/287355437/;Химки;sale;flat;13;24;4;105.0;161904;17000000;2013;Вторичка;Панельный;Центральное;-1;64.0;11.0;+79854224981;;Совхозная ;16;Ховрино;
ES-Terra Realty;real_estate_agent;https://khimki.cian.ru/sale/flat/296973630/;Химки;sale;flat;7;13;4;100.0;270000;27000000;2002;Вторичка;Кирпичный;Центральное;-1;61.0;12.0;+79623605829;;проспект Мельникова;2б;Молжаниново;
Самолет плюс;real_estate_agent;https://khimki.cian.ru/sale/flat/292418544/;Химки;sale;flat;13;17;4;107.0;149523;15999000;2013;Вторичка;Панельный;Центральное;-1;72.0;12.0;+79850451786;мкр. Левобережный;Совхозная ;29;;
Анастасия Зеленская;realtor;https://khimki.cian.ru/sale/flat/275675948/;Химки;sale;flat;11;25;4;104.0;144230;15000000;2007;Вторичка;Монолитный;Центральное;-1;63.0;10.0;+79851630878;мкр. Новые Химки;Молодежная ;64;;
Vasilevsky Estate;real_estate_agent;https://khimki.cian.ru/sale/flat/296751725/;Химки;sale;flat;2;25;4;99.9;143143;14300000;2006;Вторичка;Монолитный;Центральное;-1;62.0;12.0;+79660625206;;проспект Мельникова;15;Химки;
НДВ;real_estate_agent;https://khimki.cian.ru/sale/flat/292139780/;Химки;sale;flat;4;5;4;112.8;156914;17700000;1975;Вторичка;Кирпичный;Центральное;-1;72.0;14.0;+79165727913;;Кольцевая ;2;Беломорская;
Городское Агентство Недвижимости;real_estate_agent;https://khimki.cian.ru/sale/flat/294940802/;Химки;sale;flat;3;5;4;101.0;175742;17750000;1940;Вторичка;Кирпичный;Центральное;-1;54.0;12.0;+79060404220;;Московская ;24;Химки;
Городские квартиры;real_estate_agent;https://khimki.cian.ru/sale/flat/292240747/;Химки;sale;flat;5;6;4;115.0;143043;16450000;2014;Вторичка;Монолитный;Центральное;-1;75.0;10.0;+79660640290;;проезд Набережный;1;Речной вокзал;Город набережных
Риэлти-Город;real_estate_agent;https://khimki.cian.ru/sale/flat/289333220/;Химки;sale;flat;20;24;4;108.5;167741;18200000;2012;Вторичка;Монолитный;Центральное;-1;65.0;11.0;+79067882872;;проспект Мельникова;25;Планерная;
ГОРОБМЕН;real_estate_agent;https://khimki.cian.ru/sale/flat/294472911/;Химки;sale;flat;5;6;4;96.4;217842;21000000;2014;Вторичка;Монолитный;Центральное;-1;54.0;10.0;+79660616255;;проезд Набережный;3;Шереметьевская;Город набережных
Эксперт № 1;real_estate_agent;https://khimki.cian.ru/sale/flat/294736767/;Химки;sale;flat;3;4;4;125.0;184000;23000000;2014;Вторичка;Монолитный;Котел/Квартирное отопление;-1;80.0;14.0;+79801445710;; Ивановская;9;Планерная;Новогорск Парк
Isaev Estate;real_estate_agent;https://khimki.cian.ru/sale/flat/296746839/;Химки;sale;flat;4;9;-1;113.0;132743;15000000;2014;Вторичка;Монолитный;Автономная котельная;-1;71.0;12.0;+79165560064;; Заречная;7к2;Химки;
Самолет плюс - Химки;real_estate_agent;https://khimki.cian.ru/sale/flat/295086313/;Химки;sale;flat;23;23;4;105.8;153119;16200000;2009;Вторичка;Монолитный;Центральное;-1;64.0;11.0;+79672093845;мкр. Новые Химки; Горшина;6к2;;
ГОРОБМЕН;real_estate_agent;https://khimki.cian.ru/sale/flat/293348795/;Химки;sale;flat;14;23;4;105.3;189838;19990000;2012;Вторичка;Панельный;Центральное;-1;70.0;11.0;+79856118383;;Совхозная ;10;Ховрино;
Premium Realty;real_estate_agent;https://khimki.cian.ru/sale/flat/295287822/;Химки;sale;flat;4;8;4;112.8;744680;84000000;2017;Вторичка;Монолитный;-1;-1;82.0;25.0;+79645883343;; Ивановская;53к1;Планерная;Олимпийская Ривьера Новогорск
Правовой центр жилья-эстейт;real_estate_agent;https://khimki.cian.ru/sale/flat/293249948/;Химки;sale;flat;3;5;4;94.0;202127;19000000;1935;Вторичка;Кирпичный;Центральное;-1;63.0;10.0;+79660507273;; Бурденко;8/5;Химки;
Этажи Москва;real_estate_agent;https://khimki.cian.ru/sale/flat/291761429/;Химки;sale;flat;11;23;4;106.4;186560;19850000;2011;Вторичка;Монолитный;Центральное;-1;-1;12.0;+79852040386;мкр. Новые Химки; Горшина;6к1;;
Ольга Шевелева;realtor;https://khimki.cian.ru/sale/flat/295549428/;Химки;sale;flat;4;4;4;100.0;97000;9700000;-1;Вторичка;Панельный;-1;-1;66.0;12.0;+79623642751;;Речная ;28;Фирсановская;Firsanovka Park
Риэлт-сити МИР;real_estate_agent;https://khimki.cian.ru/sale/flat/291523263/;Химки;sale;flat;26;26;4;160.0;287500;46000000;2015;Вторичка;Монолитный;Центральное;-1;75.0;18.0;+79851666924;; Юннатов;11;Беломорская;Правый берег
