author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Сбербанк Капитал;developer;https://www.cian.ru/sale/flat/288177358/;Москва;sale;flat;3;7;3;125.7;859950;108095715;2022;Новостройка Апартаменты;-1;-1;Без отделки;-1;-1;+74951375240;Якиманка;Софийская набережная;36;Новокузнецкая;Резиденция 1864
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/295758954/;Москва;sale;flat;63;68;3;101.9;783120;79800000;2019;Вторичка Апартаменты;-1;-1;-1;65.0;15.0;+79169721186;Пресненский;1-й Красногвардейский проезд;22с1;Международная;NEVA TOWERS
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713977/;Москва;sale;flat;2;21;3;98.9;693023;68540000;2026;Новостройка;Монолитный;-1;Без отделки;49.0;9.0;+74951375398;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
ID 65607770;homeowner;https://www.cian.ru/sale/flat/273150560/;Москва;sale;flat;6;8;3;72.0;212500;15300000;1963;Вторичка;Кирпичный;Центральное;-1;-1;-1;+79660472007;Тимирязевский;Дмитровское шоссе;50К1;Окружная;
MR Group;developer;https://www.cian.ru/sale/flat/292125948/;Москва;sale;flat;19;36;3;94.0;654047;61480454;2027;Новостройка;Монолитный;-1;Без отделки, предчистовая;-1;-1;+74951379040;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295971254/;Москва;sale;flat;25;37;3;114.0;657894;75000000;2021;Вторичка;Монолитный;Центральное;-1;78.0;9.0;+79165694109;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293711658/;Москва;sale;flat;3;6;3;136.8;1724926;235970000;2025;Новостройка;Монолитный;-1;Без отделки;48.0;38.0;+74951347314;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/294452587/;Москва;sale;flat;3;13;3;118.75;1010526;120000000;2023;Вторичка;Монолитный;-1;-1;49.0;50.0;+79680405774;Пресненский;2-я Звенигородская ;12С19;Улица 1905 года;Lucky
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/294618196/;Москва;sale;flat;4;45;-1;202.0;269609;54461164;2026;Новостройка;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;45.0;21.0;+74951374925;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Towers Кутузовский
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/293305917/;Москва;sale;flat;7;21;3;113.13;1060726;120000000;2023;Вторичка;-1;Нет информации;-1;-1;-1;+79165920780;Пресненский;2-я Звенигородская ;14;Беговая;Lucky
БСА;representative_developer;https://www.cian.ru/sale/flat/293376116/;Москва;sale;flat;8;14;3;92.43;433324;40052190;2024;Новостройка;Монолитно-кирпичный;-1;Без отделки;48.0;20.0;+74951370271;Пресненский;;;Шелепиха;Хедлайнер ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295058283/;Москва;sale;flat;4;25;3;102.0;803921;82000000;2021;Вторичка;Монолитный;Центральное;-1;67.0;30.0;+79660621044;Очаково-Матвеевское;Нежинская ;3А;Минская;Городские резиденции SPIRES
VOSHOD;developer;https://www.cian.ru/sale/flat/296832243/;Москва;sale;flat;14;17;-1;202.0;301085;60819220;2024;Новостройка Апартаменты;Монолитно-кирпичный;-1;Предчистовая;-1;-1;+74951374504;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295971205/;Москва;sale;flat;13;37;3;66.3;752639;49900000;2021;Вторичка;Монолитный;Центральное;-1;43.0;6.0;+79165694109;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
MR Group;developer;https://www.cian.ru/sale/flat/254287057/;Москва;sale;flat;7;41;3;93.7;430500;40337850;2021;Новостройка;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;49.0;16.0;+74951387077;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
BERI;real_estate_agent;https://www.cian.ru/sale/flat/296564150/;Москва;sale;flat;4;22;3;78.1;280281;21890000;1986;Вторичка;Панельный;Центральное;-1;43.0;10.0;+79660611303;Строгино;Неманский проезд;13К2;Строгино;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/295061238/;Москва;sale;flat;2;6;3;119.45;1239000;147998550;2024;Новостройка Апартаменты;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951375387;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/295725756/;Москва;sale;flat;4;7;3;189.2;3964059;750000000;2019;Вторичка;Монолитный;Индивидуальный тепловой пункт;-1;91.0;19.0;+79165695182;Пресненский;Малая Бронная ;15Б;Пушкинская;Малая Бронная 15
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293715051/;Москва;sale;flat;4;12;3;102.4;684082;70050000;2023;Новостройка;Монолитный;-1;Черновая;34.0;36.0;+74951375025;Сокол; Врубеля;4к1;Панфиловская;Врубеля 4
LaRichesse;real_estate_agent;https://www.cian.ru/sale/flat/296843284/;Москва;sale;flat;6;9;3;60.0;300000;18000000;1976;Вторичка;Панельный;Центральное;-1;-1;8.0;+79652502027;Черемушки; Цюрупы;11К1;Новые Черёмушки;
MR Group;developer;https://www.cian.ru/sale/flat/294654616/;Москва;sale;flat;34;41;3;93.3;649794;60625808;2024;Новостройка;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387081;Раменки;1-й Сетуньский проезд;вл10;Лужники;Hide
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/294622608/;Москва;sale;flat;5;6;3;160.0;1237500;198000000;2018;Вторичка Апартаменты;Монолитный;Нет информации;-1;88.0;19.0;+79057215017;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
