author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
MR Group;developer;https://www.cian.ru/sale/flat/292125772/;Москва;sale;flat;20;37;1;39.6;722826;28623910;2027;Новостройка;Монолитный;-1;Без отделки, предчистовая;-1;-1;+74951379040;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Business Leader;real_estate_agent;https://www.cian.ru/sale/flat/296959546/;Москва;sale;flat;3;52;1;28.0;767857;21500000;2020;Вторичка;Монолитный;Индивидуальный тепловой пункт;-1;-1;-1;+79651572723;Раменки;Мичуринский проспект;56;Раменки;Небо — Небоскребы на Мичуринском, 56
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/296140196/;Москва;sale;flat;2;5;1;48.0;2332708;111970000;2024;Новостройка;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951347302;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/290499455/;Москва;sale;flat;3;40;1;45.5;709890;32300000;2021;Вторичка;Монолитный;Центральное;-1;19.0;6.0;+79646331510;Хорошевский;Ленинградский проспект;37/4;Динамо;Прайм Парк
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;1794214;130260000;2024;Новостройка;Монолитный;-1;Без отделки;14.0;31.0;+74951375467;Якиманка;;;Третьяковская;Лаврушинский ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/292933473/;Москва;sale;flat;16;40;1;41.1;766423;31500000;2021;Вторичка;Монолитный;Центральное;-1;23.0;4.0;+79646331510;Хорошевский;Ленинградский проспект;37/4;Динамо;Прайм Парк
Absolute Premium;developer;https://www.cian.ru/sale/flat/289918692/;Москва;sale;flat;3;18;1;49.8;910000;45318000;2026;Новостройка;Монолитный;-1;Без отделки, предчистовая;11.0;-1;+74951374939;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/295666816/;Москва;sale;flat;25;58;1;31.1;594855;18500000;2022;Вторичка;Монолитный;Центральное;-1;-1;-1;+79854476471;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
ФСК;developer;https://www.cian.ru/sale/flat/291740129/;Москва;sale;flat;2;16;-1;202.0;100879;20377757;2025;Новостройка;Монолитно-кирпичный;-1;Без отделки, предчистовая;11.0;-1;+74951374901;Свиблово;Снежная ;вл22к3;Свиблово;The Lake
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/296667617/;Москва;sale;flat;7;48;1;42.0;547619;23000000;2022;Вторичка;Монолитный;Центральное;-1;-1;-1;+79854476471;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Forma;developer;https://www.cian.ru/sale/flat/276305558/;Москва;sale;flat;4;26;-1;202.0;178175;35991470;2025;Новостройка;Монолитный;-1;Без отделки, предчистовая;12.0;19.0;+74951377038;Пресненский;;;Белорусская;Репаблик ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/287452617/;Москва;sale;flat;31;58;1;38.0;500000;19000000;2022;Вторичка;Монолитный;Центральное;-1;-1;-1;+79854476471;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/294495980/;Москва;sale;flat;19;20;1;51.5;589000;30333500;2026;Новостройка;Монолитно-кирпичный;-1;Чистовая;-1;-1;+74951346358;Басманный; Фридриха Энгельса;56;Бауманская;Дом 56
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/293760838/;Москва;sale;flat;18;48;1;42.4;471698;20000000;2022;Вторичка;Монолитный;Центральное;-1;-1;-1;+79854476471;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/294495470/;Москва;sale;flat;9;20;1;49.4;491000;24255400;2026;Новостройка;Монолитно-кирпичный;-1;Чистовая;-1;-1;+74951346358;Басманный; Фридриха Энгельса;56;Бауманская;Дом 56
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/295278504/;Москва;sale;flat;34;53;1;43.0;476744;20500000;2022;Вторичка;Монолитный;Центральное;-1;-1;-1;+79854476471;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
VESPER;developer;https://www.cian.ru/sale/flat/287317369/;Москва;sale;flat;5;21;1;65.9;1170000;77103000;2023;Новостройка;Монолитный;-1;Предчистовая, чистовая, чистовая с мебелью;18.0;24.0;+74951387366;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/293954095/;Москва;sale;flat;37;48;1;42.4;518867;22000000;2022;Вторичка;Монолитный;Центральное;-1;-1;-1;+79854476471;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/291868741/;Москва;sale;flat;3;13;1;54.02;533800;28835876;2024;Новостройка;Монолитно-кирпичный;-1;Чистовая;15.0;19.0;+74951387020;;;В20 кв-л;Опалиха;Сберсити ЖК
BERI;real_estate_agent;https://www.cian.ru/sale/flat/295734211/;Москва;sale;flat;2;9;1;34.1;630205;21490000;1965;Вторичка;Кирпичный;Центральное;-1;17.0;9.0;+79660611303;Красносельский;переулок Даев;12/16;Сухаревская;
Стадион Спартак;developer;https://www.cian.ru/sale/flat/282960185/;Москва;sale;flat;2;19;1;42.7;485699;20739390;2025;Новостройка;Монолитный;-1;Без отделки, черновая;11.0;9.0;+74951387190;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
ID 69697613;realtor;https://www.cian.ru/sale/flat/296476031/;Москва;sale;flat;18;20;1;34.2;730701;24990000;2021;Новостройка Апартаменты;Монолитный;-1;Чистовая;-1;-1;+79801206861;Алексеевский;Новоалексеевская ;16к4;Алексеевская;Серебряный фонтан
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713943/;Москва;sale;flat;4;6;1;76.6;3087206;236480000;2026;Новостройка;Монолитно-кирпичный;-1;-;23.0;32.0;+74951375469;Хамовники;3-й Обыденский переулок;1С1;;Клубный дом Обыденский № 1
BERI;real_estate_agent;https://www.cian.ru/sale/flat/295900273/;Москва;sale;flat;13;30;1;52.1;420153;21890000;2022;Вторичка;-1;Центральное;-1;35.0;4.0;+79197768169;Алексеевский;Староалексеевская ;5А;Алексеевская;Лайм
MR Group;developer;https://www.cian.ru/sale/flat/296845775/;Москва;sale;flat;18;41;1;37.7;644209;24286694;2024;Новостройка;Монолитный;-1;Предчистовая;13.0;14.0;+74951375236;Даниловский;Дубининская ;59к7;Серпуховская;Павелецкая Сити
Северная слобода;real_estate_agent;https://www.cian.ru/sale/flat/284287955/;Москва;sale;flat;1;4;1;83.3;318127;26500000;2016;Вторичка;Кирпичный;Центральное;-1;50.0;16.0;+79660714275;Северный;Дмитровское шоссе;122Гк1;Физтех;
MR Group;developer;https://www.cian.ru/sale/flat/296523631/;Москва;sale;flat;3;36;1;40.8;670824;27369636;2027;Новостройка;Монолитный;-1;Без отделки, предчистовая;-1;-1;+74951379040;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/295954563/;Москва;sale;flat;7;12;1;36.6;546174;19990000;1965;Вторичка;Кирпичный;Центральное;-1;18.0;9.0;+79660594608;Дорогомилово;Украинский бульвар;6;Киевская;
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/294328835/;Москва;sale;flat;3;6;1;78.7;1959466;154210000;2025;Новостройка;Монолитный;-1;Без отделки;15.0;33.0;+74951347314;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/295154334/;Москва;sale;flat;8;16;1;44.09;521660;23000000;2024;Новостройка;Монолитный;-1;Чистовая;10.0;22.0;+79153499386;Нагатино-Садовники;проспект Андропова;;Технопарк;WOW
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/292553114/;Москва;sale;flat;9;45;1;43.8;616879;27019302;2026;Новостройка;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;27.0;4.0;+74951374925;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Towers Кутузовский
SITRealty;real_estate_agent;https://www.cian.ru/sale/flat/296858102/;Москва;sale;flat;5;7;1;41.0;236585;9700000;2021;Вторичка;-1;Индивидуальный тепловой пункт;-1;-1;14.0;+79645672418;; Медовая Долина;4;Санино;Баркли Медовая долина
БСА;representative_developer;https://www.cian.ru/sale/flat/293376188/;Москва;sale;flat;49;51;1;29.58;671014;19848600;2024;Новостройка;Монолитно-кирпичный;-1;Без отделки;11.0;9.0;+74951370271;Пресненский;Шелепихинское шоссе;;Шелепиха;Headliner
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/296485620/;Москва;sale;flat;4;5;1;21.3;370892;7900000;1963;Вторичка Апартаменты;Блочный;-1;-1;12.0;4.0;+79152507419;Аэропорт;2-й Амбулаторный проезд;8С1;Красный Балтиец;
VOSHOD;developer;https://www.cian.ru/sale/flat/287785194/;Москва;sale;flat;8;17;-1;202.0;133160;26898520;2024;Новостройка Апартаменты;Монолитно-кирпичный;-1;Предчистовая;-1;-1;+74951374504;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/286749822/;Москва;sale;flat;51;75;1;123.0;804878;99000000;2013;Вторичка Апартаменты;Монолитный;Нет информации;-1;69.0;15.0;+79660611022;Пресненский;1-й Красногвардейский проезд;15;Деловой центр;Меркурий Тауэр
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/295061249/;Москва;sale;flat;3;6;1;48.77;1084000;52866680;2024;Новостройка Апартаменты;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951375387;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/296214668/;Москва;sale;flat;1;9;1;34.7;236311;8200000;1974;Вторичка;Панельный;Центральное;-1;-1;7.0;+79164427914;Отрадное;Юрловский проезд;27;Отрадное;
MR Group;developer;https://www.cian.ru/sale/flat/288824446/;Москва;sale;flat;2;41;1;38.1;572136;21798391;2024;Новостройка;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387081;Раменки;1-й Сетуньский проезд;вл10;Лужники;Hide
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/296791190/;Москва;sale;flat;8;9;1;32.6;279141;9100000;1975;Вторичка;Панельный;Центральное;-1;18.0;6.0;+79855695442;Орехово-Борисово Северное;Ореховый бульвар;23К1;Домодедовская;
MR Group;developer;https://www.cian.ru/sale/flat/263173828/;Москва;sale;flat;9;55;1;43.53;436522;19001846;2024;Новостройка;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387065;Марьина роща; 4-я Марьиной рощи;12к2;Рижская;Mod
Космополис;real_estate_agent;https://www.cian.ru/sale/flat/296274896/;Москва;sale;flat;4;20;1;35.3;311614;11000000;1965;Вторичка;Блочный;Центральное;-1;19.0;10.0;+79169354086;Раменки;2-й Сетуньский проезд;17;;
ID 39404589;developer;https://www.cian.ru/sale/flat/295016632/;Москва;sale;flat;31;34;1;30.0;483200;14496000;2025;Новостройка;Монолитный;-1;Без отделки, предчистовая;-1;-1;+74951387095;Обручевский;;;Калужская;Эвер ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/296971665/;Москва;sale;flat;5;5;1;30.5;409836;12500000;1959;Вторичка;Панельный;Центральное;-1;-1;5.0;+79853833786;Пресненский;Стрельбищенский переулок;25;Улица 1905 года;
MR Group;developer;https://www.cian.ru/sale/flat/282209333/;Москва;sale;flat;2;57;1;38.27;573856;21961498;2024;Новостройка;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387228;Филевский парк;;;Фили;Фили Сити ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/294635376/;Москва;sale;flat;15;17;1;38.3;261096;10000000;1990;Вторичка;Панельный;Центральное;-1;-1;8.0;+79154743919;Северное Бутово;бульвар Дмитрия Донского;9К2;Бульвар Дмитрия Донского;
